time,Azimuth:,Pitch:,Roll:
15.224,-124.822,-86.783,36.027
15.286,-126.208,-86.783,36.027
15.294,-123.735,-87.125,38.660
15.353,-126.153,-87.125,38.660
15.363,-123.310,-87.378,41.634
15.435,-125.480,-87.094,39.289
15.487,-127.146,-87.094,39.289
15.510,-125.215,-87.639,41.634
15.553,-124.724,-87.639,41.634
15.575,-117.667,-87.950,48.814
15.644,-113.385,-88.059,53.130
15.686,-111.921,-88.059,53.130
15.714,-128.327,-87.983,36.870
15.753,-127.647,-87.983,36.870
15.784,-129.055,-88.168,35.538
15.854,-122.584,-87.286,41.634
15.887,-123.433,-87.286,41.634
15.923,-107.108,-87.804,57.995
15.953,-109.339,-87.804,57.995
15.994,-126.122,-87.495,41.186
16.064,-122.443,-86.939,45.000
16.085,-124.704,-86.939,45.000
16.134,-127.820,-87.209,41.634
16.158,-136.098,-87.209,41.634
16.204,-128.750,-87.650,48.814
16.274,-132.130,-87.869,45.000
16.287,-140.642,-87.869,45.000
16.344,-148.064,-87.962,36.870
16.352,-151.159,-87.962,36.870
16.415,-155.402,-88.156,32.005
16.485,-151.010,-88.078,36.870
16.485,-145.137,-88.078,36.870
16.553,-135.392,-88.078,36.870
16.554,-143.796,-87.560,28.610
16.624,-139.484,-87.062,33.690
16.687,-132.092,-87.062,33.690
16.694,-129.691,-88.127,35.538
16.753,-127.078,-88.127,35.538
16.764,-130.640,-87.830,32.005
16.834,-121.566,-87.505,41.186
16.887,-120.698,-87.505,41.186
16.910,-116.930,-87.941,45.000
16.954,-116.430,-87.941,45.000
16.974,-123.358,-87.257,37.875
17.044,-138.720,-86.963,22.620
17.086,-139.230,-86.963,22.620
17.116,-124.466,-86.660,36.870
17.153,-126.212,-86.660,36.870
17.185,-118.095,-86.945,45.000
17.255,-126.421,-86.944,36.870
17.286,-127.271,-86.944,36.870
17.324,-112.931,-87.489,51.340
17.353,-112.435,-87.489,51.340
17.394,-111.079,-88.052,53.130
17.469,-118.860,-87.470,45.000
17.486,-117.813,-87.470,45.000
17.534,-106.592,-87.796,56.310
17.559,-105.586,-87.796,56.310
17.604,-123.146,-87.223,38.660
17.674,-116.831,-87.450,45.000
17.690,-117.253,-87.450,45.000
17.744,-124.376,-87.357,37.875
17.756,-125.096,-87.357,37.875
17.814,-126.034,-87.594,36.870
17.885,-127.267,-87.956,35.538
17.886,-129.850,-87.956,35.538
17.954,-136.893,-87.956,35.538
17.955,-132.147,-87.854,40.601
18.024,-132.385,-88.312,39.806
18.087,-141.936,-88.312,39.806
18.093,-141.518,-88.059,40.601
18.154,-141.224,-88.059,40.601
18.164,-141.102,-88.141,40.601
18.235,-147.889,-87.893,33.690
18.288,-143.549,-87.893,33.690
18.308,-152.455,-87.614,24.444
18.355,-145.382,-87.614,24.444
18.374,-141.512,-87.517,28.610
18.444,-136.448,-87.748,33.690
18.488,-131.078,-87.748,33.690
18.515,-127.126,-87.499,37.875
18.555,-124.995,-87.499,37.875
18.583,-114.116,-87.526,48.814
18.653,-125.037,-87.280,37.875
